model_id,model_revision,task_id,task_version,view_id,metric,score,status,dataset_revision,result_sha256,result_path
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,nanobeir-ne,1,dbpedia,ndcg_at_10,0.30176690901807346,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,93e9f93d8cf88750478363b2942de4a8a679d5ea4215ca1c03e3bb314cbd3771,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/nanobeir-ne-v1/results/dbpedia.json
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,nanobeir-ne,1,fever,ndcg_at_10,0.41301332273989294,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,0614673135ab8a0e8cab5bb7ec4dad0f61d6bb7acba88e95fc6fc4ed825e6c09,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/nanobeir-ne-v1/results/fever.json
all-minilm-l6-v3-nepali,37d42341db65da0787d41e0f81c977ab4fa510a5,nanobeir-ne,1,fever,ndcg_at_10,0.39669948317127307,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,1783b7b934699bbfe91d694c7020f33598f018a1eefd6bb50b73feeecaab4bcc,results/verified/all-minilm-l6-v3-nepali/37d42341db65da0787d41e0f81c977ab4fa510a5/nanobeir-ne-v1/results/fever.json
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,nanobeir-ne,1,fever,ndcg_at_10,0.42005249929244165,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,0fc26c08aa7436c12cf27b76605c148dd4ca54c6553c0ec3585d435657bd0b4f,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/nanobeir-ne-v1/results/fever.json
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,nanobeir-ne,1,fiqa2018,ndcg_at_10,0.17389017396338183,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,b19ba6b2341f92da7bf90c2b49d16643bc55df0eebb818b71265e09d7b90c305,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/nanobeir-ne-v1/results/fiqa2018.json
all-minilm-l6-v3-nepali,37d42341db65da0787d41e0f81c977ab4fa510a5,nanobeir-ne,1,fiqa2018,ndcg_at_10,0.18559345652878803,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,534c785ea4f7052ad159df43a40efca6a8378edd445e5588421d5f31dcf495eb,results/verified/all-minilm-l6-v3-nepali/37d42341db65da0787d41e0f81c977ab4fa510a5/nanobeir-ne-v1/results/fiqa2018.json
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,nanobeir-ne,1,fiqa2018,ndcg_at_10,0.1361607072579881,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,5bf35f67aa2a8238c6ca34e9be957482f0ad9cb3e448136949956aa42b3ca3c6,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/nanobeir-ne-v1/results/fiqa2018.json
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,nanobeir-ne,1,hotpotqa,ndcg_at_10,0.2885506425137922,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,c50ed82dbad2e7758248c85fd6fd7e3eda406e86a2fed1443ed5a9fee830f771,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/nanobeir-ne-v1/results/hotpotqa.json
all-minilm-l6-v3-nepali,37d42341db65da0787d41e0f81c977ab4fa510a5,nanobeir-ne,1,hotpotqa,ndcg_at_10,0.3484658827433669,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,2aa03fb69b80f4262b4664c96b62f1afa5d8e3e0d2b09e06be106b576cfb3341,results/verified/all-minilm-l6-v3-nepali/37d42341db65da0787d41e0f81c977ab4fa510a5/nanobeir-ne-v1/results/hotpotqa.json
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,nanobeir-ne,1,hotpotqa,ndcg_at_10,0.3209091056113957,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,bad3abed1328eef79bbb95b1cf9f064bce8f90c76a00217075fab191285f4ffe,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/nanobeir-ne-v1/results/hotpotqa.json
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,nanobeir-ne,1,msmarco,ndcg_at_10,0.21181289745739684,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,b1f3d8c9c85ea544a258fd0d75e5c4a07eaebc1e9b18f6d516d0b54e1aa74f1e,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/nanobeir-ne-v1/results/msmarco.json
all-minilm-l6-v3-nepali,37d42341db65da0787d41e0f81c977ab4fa510a5,nanobeir-ne,1,msmarco,ndcg_at_10,0.22877887478486247,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,6a3f6fcbfd7243ad69723a0f3236f93da778e08ceddaa3c2b69bbab1106bf8b1,results/verified/all-minilm-l6-v3-nepali/37d42341db65da0787d41e0f81c977ab4fa510a5/nanobeir-ne-v1/results/msmarco.json
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,nanobeir-ne,1,msmarco,ndcg_at_10,0.22208406667617833,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,9a6d970cb4a4b9a0768bebaf3308824f9beb1013eae96654ed91c6253f56a3bc,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/nanobeir-ne-v1/results/msmarco.json
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,nanobeir-ne,1,nfcorpus,ndcg_at_10,0.10988222779127722,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,6c667c227b73c0e0eccf8ae2bec6034175d4c22b350b06b4203ce55416fb47ca,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/nanobeir-ne-v1/results/nfcorpus.json
all-minilm-l6-v3-nepali,37d42341db65da0787d41e0f81c977ab4fa510a5,nanobeir-ne,1,nfcorpus,ndcg_at_10,0.09869435347827281,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,5d11ef455785e5394134d0cc632aab7d12e1325dfc61102f278a606d7da816d6,results/verified/all-minilm-l6-v3-nepali/37d42341db65da0787d41e0f81c977ab4fa510a5/nanobeir-ne-v1/results/nfcorpus.json
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,nanobeir-ne,1,nfcorpus,ndcg_at_10,0.07232765013871101,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,9bc2c1189b32196f7aa5a87a5d96d9e24987a686fba6357230726d5a85438438,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/nanobeir-ne-v1/results/nfcorpus.json
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,nanobeir-ne,1,nq,ndcg_at_10,0.1403361430542241,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,000c6f4516e890b5adf0bded4a568769da69e9ed99937961607ed3404f243cc7,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/nanobeir-ne-v1/results/nq.json
all-minilm-l6-v3-nepali,37d42341db65da0787d41e0f81c977ab4fa510a5,nanobeir-ne,1,nq,ndcg_at_10,0.21348258810354076,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,f9880770296a2ea38ba3f3a84c35fb0c84ea68ff63b76373239751901e4b3f61,results/verified/all-minilm-l6-v3-nepali/37d42341db65da0787d41e0f81c977ab4fa510a5/nanobeir-ne-v1/results/nq.json
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,nanobeir-ne,1,nq,ndcg_at_10,0.19599150026037448,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,57f074099f4dbf35b448eab0cb08c8017e1314eaa7cf534a9986d9abb6eb6a5d,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/nanobeir-ne-v1/results/nq.json
